station_name,station_id,station_lat,station_lng
Michigan Ave & 8th St,623.0,41.8728,-87.624
LaSalle St & Illinois St,181.0,41.8908,-87.6317
Halsted St & 18th St,202.0,41.8575,-87.6463
Indiana Ave & Roosevelt Rd,255.0,41.8679,-87.623
Elmwood Ave & Austin St,598.0,42.0258,-87.6841
Wolcott Ave & Fargo Ave,519.0,42.017,-87.6777
Lincoln Ave & Sunnyside Ave,243.0,41.963,-87.6848
Southport Ave & Belmont Ave,154.0,41.9395,-87.6638
Broadway & Barry Ave,300.0,41.9377,-87.6441
Eastlake Ter & Rogers Ave,523.0,42.0209,-87.6651
Wentworth Ave & 35th St,405.0,41.8308,-87.6325
Michigan Ave & 14th St,168.0,41.8641,-87.6237
Michigan Ave & 18th St,273.0,41.8578,-87.6246
Buckingham Fountain,2.0,41.8765,-87.6205
Clark St & Drummond Pl,220.0,41.9312,-87.6443
Clifton Ave & Armitage Ave,223.0,41.9182,-87.6569
California Ave & Milwaukee Ave,123.0,41.9227,-87.6972
Milwaukee Ave & Rockwell St,222.0,41.9202,-87.693
State St & 29th St,193.0,41.8417,-87.6269
Western Ave & Division St,305.0,41.9029,-87.6873
Sedgwick St & North Ave,118.0,41.9114,-87.6387
Ashland Ave & Wrightwood Ave,166.0,41.9288,-87.6685
Daley Center Plaza,81.0,41.8842,-87.6296
Ashland Ave & Wellington Ave,250.0,41.9361,-87.6698
Commercial Ave & 83rd St,581.0,41.7446,-87.5512
Delano Ct & Roosevelt Rd,626.0,41.8675,-87.6322
Clark St & Bryn Mawr Ave,460.0,41.9836,-87.6692
Broadway & Wilson Ave,293.0,41.9652,-87.6581
Wells St & Huron St,53.0,41.8947,-87.6344
Damen Ave & Pierce Ave,69.0,41.9094,-87.6777
Marine Dr & Ainslie St,465.0,41.9716,-87.6502
Wabash Ave & Grand Ave,199.0,41.8915,-87.6268
Larrabee St & Division St,359.0,41.9035,-87.6434
Damen Ave & Chicago Ave,128.0,41.8958,-87.6772
Sheridan Rd & Buena Ave,306.0,41.9585,-87.655
Sedgwick St & Huron St,111.0,41.8947,-87.6384
Ashland Ave & Chicago Ave,350.0,41.896,-87.6677
MLK Jr Dr & 47th St,200.0,41.8099,-87.6163
MLK Jr Dr & Pershing Rd,179.0,41.8246,-87.6168
Cottage Grove Ave & 47th St,336.0,41.8099,-87.6068
Kingsbury St & Erie St,74.0,41.8938,-87.6417
Clark St & Chicago Ave,337.0,41.8968,-87.6309
Southport Ave & Wellington Ave,153.0,41.9357,-87.6636
Kedzie Ave & Milwaukee Ave,260.0,41.9296,-87.7079
Sedgwick St & Schiller St,236.0,41.9076,-87.6386
Wabash Ave & Wacker Pl,194.0,41.8869,-87.626
Indiana Ave & 26th St,147.0,41.8457,-87.6225
Burling St (Halsted) & Diversey Pkwy (Temp),332.0,41.9331,-87.6478
Broadway & Berwyn Ave,294.0,41.9784,-87.6598
Kimbark Ave & 53rd St,322.0,41.7996,-87.5947
Sheffield Ave & Waveland Ave,114.0,41.9494,-87.6545
Lincoln Ave & Belmont Ave,131.0,41.9394,-87.6684
Paulina Ave & North Ave,16.0,41.9103,-87.6701
Clark St & Lunt Ave,432.0,42.0091,-87.6742
Desplaines St & Jackson Blvd,107.0,41.8783,-87.6439
Leavitt St & Armitage Ave,309.0,41.9178,-87.6824
Halsted St & Archer Ave,206.0,41.8472,-87.6468
Stockton Dr & Wrightwood Ave,324.0,41.9313,-87.6387
Ogden Ave & Chicago Ave,54.0,41.8964,-87.6541
Aberdeen St & Randolph St,621.0,41.8841,-87.6543
Noble St & Milwaukee Ave,29.0,41.9007,-87.6626
Damen Ave & Grand Ave,214.0,41.8912,-87.6769
Kedzie Ave & Palmer Ct,290.0,41.9215,-87.7073
Orleans St & Chestnut St (NEXT Apts),620.0,41.8982,-87.6375
Sangamon St & Washington Blvd,233.0,41.8832,-87.6511
Columbus Dr & Randolph St,195.0,41.8847,-87.6195
Canal St & Madison St,174.0,41.8821,-87.6398
DuSable Museum,422.0,41.7916,-87.6079
Troy St & North Ave,509.0,41.9098,-87.7053
Lincoln Ave & Diversey Pkwy,152.0,41.9322,-87.6586
Field Museum,97.0,41.8653,-87.6179
California Ave & Fletcher St,498.0,41.9384,-87.698
Damen Ave & Division St,130.0,41.9033,-87.6784
Spaulding Ave & Division St,510.0,41.9027,-87.7092
Sheridan Rd & Greenleaf Ave,354.0,42.0106,-87.6624
Desplaines St & Kinzie St,56.0,41.8887,-87.6444
State St & 19th St,178.0,41.8566,-87.6275
Wood St & Taylor St,317.0,41.8692,-87.671
Calumet Ave & 18th St,338.0,41.8576,-87.6194
Western Ave & Monroe St,381.0,41.8798,-87.6861
Orleans St & Merchandise Mart Plaza,100.0,41.8882,-87.6364
Wells St & Elm St,182.0,41.9032,-87.6343
Clark St & Schiller St,301.0,41.908,-87.6315
Sheridan Rd & Irving Park Rd,240.0,41.9542,-87.6544
Southport Ave & Irving Park Rd,318.0,41.9542,-87.6644
Michigan Ave & Madison St,197.0,41.8821,-87.6251
Rhodes Ave & 32nd St,263.0,41.8362,-87.6135
Calumet Ave & 51st St,415.0,41.8023,-87.6181
State St & Pearson St,106.0,41.8974,-87.6287
Clark St & Lake St,38.0,41.886,-87.6309
Francisco Ave & Foster Ave,471.0,41.9756,-87.7014
Mies van der Rohe Way & Chestnut St,145.0,41.8986,-87.6219
Indiana Ave & 31st St,272.0,41.8388,-87.6219
Clark St & Wellington Ave,156.0,41.9365,-87.6475
Franklin St & Chicago Ave,31.0,41.8967,-87.6357
Morgan St & 18th St,14.0,41.8581,-87.6511
Federal St & Polk St,41.0,41.8721,-87.6295
Glenwood Ave & Morse Ave,447.0,42.008,-87.6655
Claremont Ave & Hirsch St,159.0,41.9078,-87.6859
Lincoln Ave & Roscoe St,230.0,41.9433,-87.671
63rd St Beach,101.0,41.781,-87.5761
Southport Ave & Clybourn Ave,307.0,41.9208,-87.6637
Ellis Ave & 60th St,426.0,41.7851,-87.6011
Franklin St & Jackson Blvd,36.0,41.8777,-87.6353
Benson Ave & Church St,596.0,42.0482,-87.6835
Sheffield Ave & Willow St,93.0,41.9137,-87.6529
Western Ave & Granville Ave,452.0,41.9942,-87.6894
Halsted St & Dickens Ave,225.0,41.9199,-87.6488
Racine Ave & 18th St,15.0,41.8582,-87.6565
State St & Randolph St,44.0,41.8847,-87.6277
Austin Blvd & Madison St,544.0,41.8803,-87.7745
Broadway & Ridge Ave,461.0,41.984,-87.6603
Campbell Ave & Montrose Ave,482.0,41.9615,-87.6912
California Ave & Francis Pl (Temp),259.0,41.9185,-87.6974
Fort Dearborn Dr & 31st St,150.0,41.8386,-87.6082
Canal St & Adams St,192.0,41.8793,-87.6399
Clinton St & Roosevelt Rd,57.0,41.8671,-87.6411
Dearborn St & Van Buren St,624.0,41.8763,-87.6292
South Shore Dr & 67th St,355.0,41.7736,-87.5675
Broadway & Granville Ave,454.0,41.9948,-87.6603
Clinton St & Tilden St,68.0,41.8759,-87.6408
Ellis Ave & 58th St,328.0,41.7887,-87.6013
Clark St & Randolph St,51.0,41.8846,-87.6319
Green St & Randolph St,112.0,41.8837,-87.6487
Sedgwick St & Webster Ave,143.0,41.9222,-87.6389
Halsted St & Wrightwood Ave,349.0,41.9291,-87.6491
Keystone Ave & Montrose Ave,495.0,41.9611,-87.729
Leavitt St & North Ave,213.0,41.9102,-87.6823
Franklin St & Illinois St,672.0,41.891,-87.6355
Wabash Ave & Cermak Rd,42.0,41.8526,-87.6265
Dearborn St & Adams St,37.0,41.8794,-87.6298
Ellis Ave & 53rd St,418.0,41.7993,-87.601
Kingsbury St & Kinzie St,133.0,41.8892,-87.6385
Jefferson St & Monroe St,73.0,41.8804,-87.6427
Rush St & Cedar St,172.0,41.9023,-87.6277
Clinton St & Jackson Blvd,638.0,41.8781,-87.6398
Lake Shore Dr & Belmont Ave,334.0,41.9408,-87.6392
Damen Ave & Sunnyside Ave,316.0,41.9633,-87.6793
Ellis Ave & 83rd St,584.0,41.7441,-87.599
Kosciuszko Park,499.0,41.9306,-87.7238
Cottage Grove Ave & 78th St,575.0,41.7532,-87.605
Throop (Loomis) St & Taylor St,19.0,41.869,-87.6591
Larrabee St & Menomonee St,28.0,41.9147,-87.6433
Ashland Ave & 63rd St,563.0,41.7794,-87.6648
Ravenswood Ave & Irving Park Rd,244.0,41.9547,-87.6739
St. Louis Ave & Balmoral Ave,469.0,41.9804,-87.7161
Orleans St & Elm St,23.0,41.9029,-87.6377
Wells St & Evergreen Ave,291.0,41.9067,-87.6348
Racine Ave & Congress Pkwy,32.0,41.8746,-87.657
Michigan Ave & Oak St,85.0,41.901,-87.6238
Pine Grove Ave & Waveland Ave,232.0,41.9493,-87.6463
Dearborn Pkwy & Delaware Pl,140.0,41.899,-87.6299
State St & Kinzie St,47.0,41.8892,-87.6278
Milwaukee Ave & Cuyler Ave,589.0,41.9545,-87.7496
Michigan Ave & Ida B Wells Dr,45.0,41.8762,-87.6244
Wilton Ave & Belmont Ave,117.0,41.9402,-87.653
Central St & Girard Ave,602.0,42.0643,-87.6862
Sheridan Rd & Noyes St (NU),604.0,42.0582,-87.6774
Clark St & Berwyn Ave,463.0,41.978,-87.668
California Ave & Byron St,487.0,41.9522,-87.6981
Sheffield Ave & Kingsbury St,20.0,41.9105,-87.6531
Campbell Ave & North Ave,160.0,41.9105,-87.6896
Wells St & Walton St,46.0,41.8999,-87.6344
Oakley Ave & Irving Park Rd,486.0,41.9543,-87.6861
Loomis St & Archer Ave,366.0,41.8416,-87.6574
Cottage Grove Ave & 67th St,429.0,41.7737,-87.6056
Aberdeen St & Jackson Blvd,21.0,41.8777,-87.6548
Avers Ave & Belmont Ave,496.0,41.9394,-87.7236
LaSalle St & Jackson Blvd,283.0,41.8782,-87.6319
Elizabeth (May) St & Fulton St,217.0,41.8866,-87.658
Southport Ave & Clark St,292.0,41.9571,-87.6642
Ashland Ave & Lake St,119.0,41.8859,-87.6672
Cottage Grove Ave & 51st St,351.0,41.803,-87.6066
California Ave & Montrose Ave,481.0,41.9611,-87.6954
Winthrop Ave & Lawrence Ave,253.0,41.9688,-87.6577
Sheffield Ave & Wrightwood Ave,302.0,41.9287,-87.6538
Lincoln Ave & Belle Plaine Ave,298.0,41.956,-87.6803
Clybourn Ave & Division St,138.0,41.9046,-87.6406
Western Ave & Roscoe St,493.0,41.943,-87.6873
State St & Harrison St,5.0,41.8741,-87.6277
Halsted St & Willow St,224.0,41.9139,-87.6488
Archer (Damen) Ave & 37th St,645.0,41.8267,-87.6831
Cityfront Plaza Dr & Pioneer Ct,196.0,41.8906,-87.6221
Halsted St & Polk St,108.0,41.8718,-87.6466
Ogden Ave & Congress Pkwy,122.0,41.875,-87.6733
Logan Blvd & Elston Ave,258.0,41.9295,-87.6842
Clark St & Elmdale Ave,457.0,41.9905,-87.6698
Field Blvd & South Water St,7.0,41.8863,-87.6175
Clark St & North Ave,126.0,41.912,-87.6319
Franklin St & Monroe St,287.0,41.8803,-87.6352
Stetson Ave & South Water St,264.0,41.8868,-87.6223
Paulina St & Montrose Ave,297.0,41.9615,-87.6714
Blackstone Ave & Hyde Park Blvd,121.0,41.8026,-87.5904
Racine Ave & Wrightwood Ave,343.0,41.9289,-87.659
Milwaukee Ave & Wabansia Ave,158.0,41.9126,-87.6814
Malcolm X College,631.0,41.8776,-87.6739
Albany Ave & Montrose Ave,480.0,41.961,-87.7059
Walsh Park,628.0,41.9146,-87.668
Talman Ave & Addison St,491.0,41.9466,-87.6946
Lakefront Trail & Bryn Mawr Ave,459.0,41.984,-87.6523
Damen Ave & Charleston St,310.0,41.9201,-87.6779
Cornell Ave & Hyde Park Blvd,417.0,41.8024,-87.5869
Calumet Ave & 33rd St,149.0,41.8349,-87.6179
Winchester (Ravenswood) Ave & Balmoral Ave,462.0,41.9798,-87.6775
Broadway & Sheridan Rd,256.0,41.9528,-87.65
Southport Ave & Wrightwood Ave,190.0,41.9288,-87.6639
Rockwell St & Eastwood Ave,478.0,41.9659,-87.6936
Sheridan Rd & Loyola Ave,451.0,42.001,-87.6612
Kimball Ave & Belmont Ave,497.0,41.9394,-87.7116
Troy St & Elston Ave,490.0,41.9452,-87.7066
Central Park Ave & Elbridge Ave,500.0,41.9353,-87.7169
LaSalle St & Washington St,98.0,41.8827,-87.6325
Austin Blvd & Lake St,532.0,41.8879,-87.7744
Clarendon Ave & Leland Ave,251.0,41.968,-87.65
Broadway & Thorndale Ave,458.0,41.9897,-87.6601
Elston Ave & Wabansia Ave,315.0,41.9129,-87.6642
Chicago Ave & Sheridan Rd,603.0,42.0505,-87.6778
Paulina St & Flournoy St,383.0,41.873,-87.6691
Clark St & 9th St (AMLI),394.0,41.8708,-87.6312
Larrabee St & Kingsbury St,48.0,41.8978,-87.6429
Paulina St & Howard St,515.0,42.0192,-87.6736
Racine Ave & Belmont Ave,226.0,41.9397,-87.6589
Hermitage Ave & Polk St,261.0,41.8715,-87.6699
Financial Pl & Ida B Wells Dr,89.0,41.875,-87.6331
Pulaski Rd & Eddy St (Temp),488.0,41.9463,-87.731
Jeffery Blvd & 67th St,352.0,41.7735,-87.5771
Western Ave & Congress Pkwy,382.0,41.8747,-87.6864
Larrabee St & Armitage Ave,288.0,41.9181,-87.6437
University Ave & 57th St,423.0,41.7915,-87.5999
Broadway & Argyle St,295.0,41.9738,-87.6597
Sheffield Ave & Webster Ave,327.0,41.9215,-87.6538
May St & Taylor St,22.0,41.8695,-87.6555
Prairie Ave & 43rd St,410.0,41.8167,-87.6194
Seeley Ave & Roscoe St,308.0,41.9434,-87.6796
California Ave & Cortez St,622.0,41.9004,-87.6967
Ashland Ave & Augusta Blvd,30.0,41.8996,-87.6677
Damen Ave & Madison St,215.0,41.8814,-87.6749
Desplaines St & Randolph St,96.0,41.8846,-87.6446
Marshfield Ave & Cortland St,58.0,41.916,-87.6689
Damen Ave & Cullerton St,124.0,41.855,-87.6757
Wabash Ave & Adams St,39.0,41.8795,-87.6257
Clark St & Schreiber Ave,453.0,41.9993,-87.6714
Damen Ave & Clybourn Ave,163.0,41.9319,-87.6779
Ashland Ave & Blackhawk St,333.0,41.9071,-87.6673
Wells St & Polk St,175.0,41.8726,-87.6335
Central St Metra,601.0,42.0636,-87.6987
Laramie Ave & Madison St,540.0,41.8802,-87.7553
Western Ave & Leland Ave,239.0,41.9665,-87.6884
Sheridan Rd & Lawrence Ave,323.0,41.9695,-87.6547
Adler Planetarium,341.0,41.8661,-87.6073
Loomis St & Jackson Blvd,146.0,41.8779,-87.662
2112 W Peterson Ave,456.0,41.9912,-87.6836
Western Ave & 21st St,203.0,41.8541,-87.6858
State St & 33rd St,148.0,41.8347,-87.6258
Harper Ave & 59th St,425.0,41.7879,-87.5883
Manor Ave & Leland Ave,477.0,41.9659,-87.7008
Sheridan Rd & Columbia Ave,660.0,42.0046,-87.6614
Damen Ave & Melrose Ave,228.0,41.9406,-87.6785
Southport Ave & Roscoe St,229.0,41.9437,-87.664
Clinton St & Washington Blvd,91.0,41.8834,-87.6412
Clark St & Montrose Ave,234.0,41.9616,-87.666
Richmond St & Diversey Ave,501.0,41.9319,-87.7012
Dearborn St & Monroe St,49.0,41.8813,-87.6295
Woodlawn Ave & Lake Park Ave,413.0,41.8141,-87.597
Morgan St & 31st St,280.0,41.8378,-87.6511
Keystone Ave & Fullerton Ave,619.0,41.9246,-87.7279
Larrabee St & North Ave,27.0,41.9102,-87.6435
Dusable Harbor,6.0,41.887,-87.6128
State St & 35th St,184.0,41.8309,-87.628
Warren Park East,448.0,42.0046,-87.6807
Calumet Ave & 21st St,370.0,41.8542,-87.6192
Franklin St & Adams St (Temp),286.0,41.8794,-87.6355
Kedzie Ave & Bryn Mawr Ave,494.0,41.9824,-87.7089
Lincoln Ave & Waveland Ave,257.0,41.9488,-87.6753
Lake Park Ave & 56th St,345.0,41.7932,-87.5878
Clinton St & Lake St,66.0,41.8856,-87.6418
Greenview Ave & Diversey Pkwy,319.0,41.9326,-87.6659
Normal Ave & Archer Ave,209.0,41.8495,-87.6406
Wallace St & 35th St,278.0,41.8306,-87.6413
Orleans St & Hubbard St,636.0,41.89,-87.6366
Damen Ave & Leland Ave,242.0,41.9671,-87.679
Chicago Ave & Washington St,597.0,42.0326,-87.6791
Central Ave & Chicago Ave,550.0,41.895,-87.7649
Warren Park West,450.0,42.0018,-87.6888
Shields Ave & 31st St,402.0,41.8385,-87.6354
Monticello Ave & Irving Park Rd,484.0,41.954,-87.7191
Central Park Blvd & 5th Ave,533.0,41.8757,-87.7155
Albany Ave & Bloomingdale Ave,511.0,41.914,-87.7051
Western Ave & Winnebago Ave,116.0,41.9155,-87.687
Morgan St & Polk St,241.0,41.8717,-87.651
Damen Ave & Cortland St,219.0,41.916,-87.6773
Halsted St & Maxwell St,282.0,41.8649,-87.6471
Ellis Ave & 55th St,420.0,41.7943,-87.6015
Canal St & Jackson Blvd,75.0,41.8772,-87.6394
Cottage Grove Ave & 43rd St,271.0,41.8165,-87.6066
Winchester Ave & Elston Ave,505.0,41.9241,-87.6765
MLK Jr Dr & 63rd St,430.0,41.7801,-87.6159
Greenwood Ave & 47th St,252.0,41.8098,-87.5994
Stave St & Armitage Ave,185.0,41.9177,-87.6914
Halsted St & 47th Pl,411.0,41.8081,-87.6456
State St & Van Buren St,33.0,41.8772,-87.6278
California Ave & Altgeld St,502.0,41.9267,-87.6977
Ashland Ave & Belle Plaine Ave,246.0,41.9561,-87.6688
Lake Shore Dr & Ohio St,99.0,41.8926,-87.6145
Emerald Ave & 31st St,339.0,41.8382,-87.6451
Clark St & Leland Ave,326.0,41.9671,-87.6674
Michigan Ave & Jackson Blvd,284.0,41.8779,-87.6241
Cottage Grove Ave & 63rd St,427.0,41.7806,-87.6061
Spaulding Ave & Armitage Ave,506.0,41.9171,-87.7102
LaSalle St & Adams St,40.0,41.8793,-87.632
Clinton St & Polk St,103.0,41.8715,-87.6409
Racine Ave & Garfield Blvd,559.0,41.7942,-87.6551
Michigan Ave & Pearson St,25.0,41.8977,-87.6235
Halsted St & Roosevelt Rd,55.0,41.8673,-87.6486
Racine Ave & Fullerton Ave,87.0,41.9256,-87.6584
Western Ave & Howard St,527.0,42.0189,-87.69
Western Ave & Lunt Ave,467.0,42.0086,-87.6905
Wood St & Hubbard St,285.0,41.8899,-87.6715
Wood St & Chicago Ave (*),637.0,41.8956,-87.6721
Drake Ave & Addison St,489.0,41.9473,-87.7176
Emerald Ave & 28th St,207.0,41.8436,-87.6454
Sacramento Blvd & Franklin Blvd,375.0,41.8905,-87.7026
Bosworth Ave & Howard St,522.0,42.0195,-87.6696
Sawyer Ave & Irving Park Rd,485.0,41.9536,-87.7093
Millard Ave & 26th St,443.0,41.8446,-87.7159
Prairie Ave & Garfield Blvd,204.0,41.7949,-87.6187
Leavitt St & Division St (*),658.0,41.903,-87.6838
Artesian Ave & Hubbard St,376.0,41.8895,-87.6882
Calumet Ave & 35th St,335.0,41.8314,-87.618
Cherry Ave & Blackhawk St,666.0,41.9072,-87.6556
Lake Park Ave & 53rd St,419.0,41.7995,-87.5864
State St & Pershing Rd,407.0,41.823,-87.6266
Clark St & Columbia Ave,449.0,42.0045,-87.6724
Central Park Ave & 24th St,440.0,41.8481,-87.7151
Racine Ave & 13th St,136.0,41.8651,-87.657
Conservatory Dr & Lake St,518.0,41.8855,-87.7169
Larrabee St & Oak St,364.0,41.9002,-87.643
Lincoln Ave & Addison St,330.0,41.9462,-87.6733
Cornell Dr & Hayes Dr,653.0,41.7806,-87.5848
Eberhart Ave & 61st St,431.0,41.7841,-87.6133
Wacker Dr & Washington St,18.0,41.8831,-87.6373
Lake Park Ave & 47th St,267.0,41.8094,-87.5919
Central Park Ave & Ogden Ave,438.0,41.8542,-87.7154
McCormick Place,62.0,41.8514,-87.6188
Morgan Ave & 14th Pl,137.0,41.8624,-87.6511
Kedzie Ave & Chicago Ave,373.0,41.8955,-87.7061
May St & Cullerton St,171.0,41.8551,-87.6541
Ashland Ave & Garfield Blvd,558.0,41.7928,-87.6644
Damen Ave & Pershing Rd,546.0,41.8232,-87.6766
Hoyne Ave & 47th St,551.0,41.8082,-87.6772
Western Blvd & 48th Pl,594.0,41.8057,-87.6834
Western Ave & 24th St,281.0,41.8485,-87.6851
Princeton Ave & Garfield Blvd,385.0,41.795,-87.6331
Jeffery Blvd & 71st St,11.0,41.7666,-87.5764
Washtenaw Ave & Ogden Ave,437.0,41.8619,-87.6935
Halsted St & North Branch St,365.0,41.8994,-87.6485
Western Ave & 28th St,446.0,41.8415,-87.6851
Ashland Ave & McDowell Ave,552.0,41.8089,-87.6645
Seeley Ave & Garfield Blvd,557.0,41.7941,-87.6755
Clinton St & 18th St,170.0,41.858,-87.6408
Kilbourn Ave & Irving Park Rd,590.0,41.9537,-87.7406
Kedzie Ave & Harrison St,433.0,41.8736,-87.7049
Chicago Ave & Dempster St,625.0,42.0417,-87.6807
Valli Produce - Evanston Plaza,599.0,42.0397,-87.6994
Cottage Grove Ave & 83rd St,585.0,41.7434,-87.6048
Ravenswood Ave & Berteau Ave,314.0,41.9579,-87.6736
California Ave & 21st St,348.0,41.8538,-87.6957
Cottage Grove Ave & Oakwood Blvd,265.0,41.823,-87.6071
Dodge Ave & Church St,600.0,42.0483,-87.6982
Union Ave & Root St,408.0,41.8191,-87.6433
Vernon Ave & 75th St,571.0,41.7584,-87.6141
Budlong Woods Library,468.0,41.9837,-87.6964
